"","subject","id","seed","comments.SC","comments.CNL","comments.KV","comments.GENERAL"
"1",1,2,2051833672,"In my opinion, by formulating the various interactions in direct succession, the structure gets lost. If they are listed below each other, it is easier and more efficient to create a structured storyboard. ","This is possibly already included in the idea, but before implementing this way of storyboarding, it seems appropriate to me to start with a number of elaborated good practices, linked to the developed learning videos.","",""
"2",2,5,2108605786,"I can use a pair of the above notation ","","",""
"3",3,6,980809349,"","","",""
"4",4,8,1975677673,"","","",""
"5",5,11,299112953,"","","Probably because of my personal background, i find that the notation is slightly redundant because of the absence of structure. 

I, *personally*, would prefer something more on the line of a YAML document. However, for somebody not familiar with it, or not technically shavy, this could pose an additional challenge, and the proposed format looks simpler.

By using YAML, the example above could be rewritten in this way:

videos:
    - name: video1
      URL: https://youtu.be/0siisFJUKh4
      chapters:
        - name: chapter1
          title: ""Definition of term Information Sistem""
          timestamp: 01:10

        -name: chapter2
         title: ""An example based on the library""
         timestamp: 02:05

interactions:
    - name: interaction1
      title: ""What is an Information System""
      type: multipleChoice
      question: ""Question Text?""
      answers: (""Answer 1"",wrong ""Answer 2"",correct)

    - name: interaction2
      title: ""Information Systems around us""
      type: textPage

modules:
    -name: module1
     title: ""What is an information System?""
     playlist: interaction1, video1, interaction2

",""
"6",6,12,310649036,"I personally prefer a more visual approach. This may be accurate but it looks too abstract for me, esp. since the text may become confusingly long when question and answers are included.","Until now, the best of the portrayed approaches. Still, iÔd prefer a even more usability-friendly approach. Eg one that shows what areas will be addressed, e.g. chapters, additional questions etc and that then continues by asking one question per page ( what is the title?. How many chapters? Shall there be a question? When?  etc.    The page before would be the summarization of all entries as an information for me (user). ","Better than the one beforehand. Stll prefer a more visual approach e.g. with illustration, icons, a wizardÉ this is very code-like functional.",""
"7",7,13,1916526994,"One problem with the notation is that chapters do not refer explicitly the video they belong to. What if we have more videos? Do we assume they refer to the last defined video item?

Also, the example does not show how to use the chapters. Hopefully one can just use them as other items in the playlist.","I think this notation does not distinguish very clearly between object type (e.g. Video) and object name (the reference we use when creating the module structure). As the command resembles natural language, this is very important, because I cannot say ""There is a Chapter with URL ..."" when I am actually defining a video. Also the way we define a video and an interaction use a different formulation.

If we want to make it look natural language, it needs to have some level of fuzzyness to recognize variants of  a specification, e.g. ""We have a Video with URL..."". This could introduce ambiguity and unexpected results. If such a language required to be exact (no variation in the formulation), then it would make it much more difficult to remember, compared to a ""normal"" scripting language.","This notation is not complicated or bad in itself, but we have again not a clear distinction between an object type and an object name. For instance, what tells me that the object ""chapter1"" is in fact of type ""chapter""? Does it depend on a naming convention?

Again, the chapters do not refer to the video they belong to explicitly and is not clear if they can be used in a playlist the same as other objects.",""
"8",8,16,530806819,"","","",""
"9",9,17,290926371,"","","",""
"10",10,18,2117931939,"I like the basic idea of this one a lot better (much more direct) but it feels much more technical, which I think could put people off! (also the use of hyphens & brackets would require training and again creates potential for error)

The overall structure of the first example made more sense to me (Module title + video URL at the top).
","would these be text blocks / templates or would you need to type the whole thing out each time? It seems rather wordy to me and I think having to type out the whole phrase would lead to more space for error (e.g. I'd always be tempted to write ""Chapter 1 is called..."" instead of ""is titled""). 
I think it might work better to have simpler templates, e.g.
Module: 
Title: 

Chapter 1:
Title: 
Timestamp: 

etc.","This is definitely the best option, i.e. what I was looking for in the other two options!
the ""storyboard"" element is still a bit confusing if the functions (?) are grouped by function instead of in the order you want it to appear (playlist). It would be more logical for me to list it like this:

interaction1
video1
chapter1
chapter2
interaction2","It's not entirely clear what the text-based video is being compared to (more efficient/effective than what?). I'm also not sure what a GUI is (boxes/containers/tabs/windows rather than words?). 
Using text-based input is definitely easier (=more effective) and quicker (=more efficient) than trying to program/code something, as I'd always need an additional IT person to help me do this.
They'd all need a bit of training to use but I think the key-value notation is as easy to learn as the natural-language and feels a LOT more efficient. 
FYI, I used the video function on LearningApps.org and that was pretty intuitive for cutting and inserting questions/titles (but not answer options) into a YouTube video. It would be great to have the means to embed LernaktivitŠten from Learn so that you could also extract students' points, though.  "
