"","subject","id","seed","author","user","researcher","other","authorHOWMANYYEARS","authorHOWMANYVIDEOS","researchHOWMANYYEARS","researchHOWMANYPUB","userHOWMANYYEARS","userHOWMANYCOURSES"
"1",1,2,2051833672,"Yes","Yes","Yes","",2,25,2,1,2,2
"2",2,5,2108605786,"No","Yes","No","",NA,NA,NA,NA,12,3
"3",3,6,980809349,"Yes","No","Yes","",6,100,3,3,NA,NA
"4",4,8,1975677673,"Yes","Yes","No","",8,30,NA,NA,8,20
"5",5,11,299112953,"No","No","No","Software developer / administrator of video-based learning tools",NA,NA,NA,NA,NA,NA
"6",6,12,310649036,"Yes","No","No","",5,15,NA,NA,NA,NA
"7",7,13,1916526994,"No","No","No","I have implemented tools in the field of video-based learning / technology enhanced learning / educational technology",NA,NA,NA,NA,NA,NA
"8",8,16,530806819,"Yes","Yes","No","",3,15,NA,NA,10,4
"9",9,17,290926371,"Yes","No","No","",1,3,NA,NA,NA,NA
"10",10,18,2117931939,"No","Yes","No","created PowerPoint + audio commentary - not sure if that counts as ""video""",NA,NA,NA,NA,5,32
"11",11,19,1048922923,"Yes","No","No","",10,30,NA,NA,NA,NA
"12",12,20,1736209271,"Yes","Yes","No","",1.5,70,NA,NA,3,2
"13",13,21,1638842287,"Yes","Yes","No","",4,18,NA,NA,7,5
"14",14,22,1683345284,"No","Yes","No","software developer",NA,NA,NA,NA,5,0
"15",15,23,2055219255,"Yes","Yes","No","",2,30,NA,NA,5,12
"16",16,24,1385493348,"Yes","Yes","No","",17,100,NA,NA,18,100
"17",17,25,1976607728,"Yes","Yes","No","I have created video-based learning content for other people",15,500,NA,NA,15,0
"18",18,26,603242395,"Yes","Yes","No","",4,15,NA,NA,3,2
"19",19,28,213904330,"Yes","Yes","Yes","",12,500,10,0,10,30
"20",20,29,1524781293,"Yes","No","No","",2,3,NA,NA,NA,NA
"21",21,30,2020808474,"Yes","Yes","No","",5,20,NA,NA,5,15
"22",22,31,216425274,"No","Yes","No","",NA,NA,NA,NA,3,2
"23",23,32,1460590031,"Yes","Yes","Yes","",15,100,15,0,15,10
"24",24,33,790342637,"Yes","No","No","",1,1,NA,NA,NA,NA
"25",25,34,1700181835,"Yes","No","No","",4,6,NA,NA,NA,NA
"26",26,35,1162175495,"Yes","Yes","No","",2,5,NA,NA,6,6
"27",27,36,450050402,"Yes","Yes","Yes","",7,10,8,0,15,7
"28",28,37,436751504,"Yes","Yes","No","",1.5,16,NA,NA,10,3
"29",29,39,1449684040,"No","No","No","Webdeveloper",NA,NA,NA,NA,NA,NA
"30",30,40,2130912221,"No","No","Yes","",NA,NA,6,4,NA,NA
"31",31,43,1876369982,"No","Yes","No","",NA,NA,NA,NA,5,4
"32",32,45,904296725,"Yes","Yes","Yes","Teacher education - producing educational videos with students for students",8,10,2,1,8,5
"33",33,53,944159441,"Yes","Yes","No","",7,300,NA,NA,9,1
"34",34,54,32789223,"Yes","Yes","No","",1,24,NA,NA,1,2
"35",35,55,1776216516,"Yes","Yes","Yes","",20,20,10,10,20,40
"36",36,56,1197490048,"No","No","Yes","",NA,NA,16,1,NA,NA
"37",37,58,1209479113,"Yes","No","Yes","",3,4,3,1,NA,NA
"38",38,59,1444407963,"Yes","Yes","No","",7,100,NA,NA,15,200
"39",39,62,532468672,"Yes","Yes","No","Enabler - I have enabled myself and others (students and teachers) to learn through producing videos in cooperational processes",15,70,NA,NA,15,100
"40",40,65,140112808,"Yes","Yes","Yes","",8,400,4,2,14,12
"41",41,66,1176156196,"Yes","Yes","Yes","",20,20,10,1,20,5
"42",42,67,49407394,"Yes","Yes","No","",8,20,NA,NA,15,10
"43",43,68,1242304743,"Yes","Yes","No","lector / corrector",3,30,NA,NA,10,2
"44",44,71,1227483714,"No","No","Yes","",NA,NA,2,1,NA,NA
"45",45,72,1660934437,"Yes","No","No","",5,10,NA,NA,NA,NA
"46",46,74,416517917,"No","No","Yes","",NA,NA,3,1,NA,NA
"47",47,76,1925785819,"Yes","Yes","Yes","",20,50,15,22,25,40
"48",48,77,2081927725,"No","Yes","Yes","",NA,NA,2,0,6,2
"49",49,79,326882635,"Yes","No","Yes","",6,10,6,6,NA,NA
"50",50,80,235934462,"Yes","No","Yes","",8,2000,8,2,NA,NA
"51",51,81,2014659586,"Yes","No","No","",1,4,NA,NA,NA,NA
"52",52,82,1778131956,"Yes","No","No","",7,15,NA,NA,NA,NA
"53",53,83,2109237847,"Yes","Yes","Yes","to a certain extend also TEL infrastructure provider",15,50,15,0,15,30
"54",54,84,1012554506,"Yes","Yes","No","",2,6,NA,NA,2,2
"55",55,85,416935227,"Yes","Yes","Yes","",7,5,1,0,10,2
"56",56,NA,NA,"","","","",NA,NA,NA,NA,NA,NA
