"","subject","id","seed","RANKING.SQ001.","RANKING.SQ002.","RANKING.SQ003."
"1",1,2,2051833672,"3rd place","2nd place","1st place"
"2",2,5,2108605786,"2nd place","1st place","3rd place"
"3",3,6,980809349,"3rd place","1st place","2nd place"
"4",4,8,1975677673,"1st place","2nd place","3rd place"
"5",5,11,299112953,"1st place","3rd place","2nd place"
"6",6,12,310649036,"3rd place","2nd place","2nd place"
"7",7,13,1916526994,"1st place","3rd place","2nd place"
"8",8,16,530806819,"1st place","3rd place","2nd place"
"9",9,17,290926371,"1st place","2nd place","3rd place"
"10",10,18,2117931939,"2nd place","3rd place","1st place"
"11",11,19,1048922923,"2nd place","3rd place","1st place"
"12",12,20,1736209271,"don't know","don't know","don't know"
"13",13,21,1638842287,"2nd place","3rd place","1st place"
"14",14,22,1683345284,"2nd place","3rd place","1st place"
"15",15,23,2055219255,"2nd place","3rd place","1st place"
"16",16,24,1385493348,"3rd place","1st place","2nd place"
"17",17,25,1976607728,"1st place","3rd place","2nd place"
"18",18,26,603242395,"3rd place","2nd place","1st place"
"19",19,28,213904330,"1st place","2nd place","3rd place"
"20",20,29,1524781293,"2nd place","1st place","3rd place"
"21",21,30,2020808474,"3rd place","2nd place","1st place"
"22",22,31,216425274,"1st place","2nd place","3rd place"
"23",23,32,1460590031,"3rd place","1st place","2nd place"
"24",24,33,790342637,"3rd place","2nd place","1st place"
"25",25,34,1700181835,"1st place","2nd place","3rd place"
"26",26,35,1162175495,"1st place","2nd place","1st place"
"27",27,36,450050402,"3rd place","1st place","2nd place"
"28",28,37,436751504,"2nd place","3rd place","2nd place"
"29",29,39,1449684040,"2nd place","1st place","3rd place"
"30",30,40,2130912221,"3rd place","1st place","2nd place"
"31",31,43,1876369982,"2nd place","3rd place","1st place"
"32",32,45,904296725,"3rd place","2nd place","1st place"
"33",33,53,944159441,"3rd place","1st place","1st place"
"34",34,54,32789223,"3rd place","2nd place","1st place"
"35",35,55,1776216516,"1st place","3rd place","2nd place"
"36",36,56,1197490048,"2nd place","1st place","3rd place"
"37",37,58,1209479113,"3rd place","1st place","2nd place"
"38",38,59,1444407963,"2nd place","3rd place","1st place"
"39",39,62,532468672,"2nd place","1st place","3rd place"
"40",40,65,140112808,"3rd place","2nd place","1st place"
"41",41,66,1176156196,"2nd place","1st place","3rd place"
"42",42,67,49407394,"3rd place","1st place","2nd place"
"43",43,68,1242304743,"2nd place","1st place","3rd place"
"44",44,71,1227483714,"2nd place","3rd place","1st place"
"45",45,72,1660934437,"3rd place","1st place","2nd place"
"46",46,74,416517917,"1st place","3rd place","2nd place"
"47",47,76,1925785819,"2nd place","1st place","3rd place"
"48",48,77,2081927725,"3rd place","1st place","2nd place"
"49",49,79,326882635,"2nd place","1st place","3rd place"
"50",50,80,235934462,"2nd place","3rd place","1st place"
"51",51,81,2014659586,"2nd place","1st place","3rd place"
"52",52,82,1778131956,"3rd place","2nd place","1st place"
"53",53,83,2109237847,"1st place","2nd place","3rd place"
"54",54,84,1012554506,"2nd place","3rd place","1st place"
"55",55,85,416935227,"3rd place","2nd place","1st place"
"56",56,NA,NA,"","",""
