"","subject","id","seed","notation","sus"
"1",1,2,2051833672,"sc",40
"2",2,5,2108605786,"sc",40
"3",3,6,980809349,"sc",50
"4",4,8,1975677673,"sc",57.5
"5",5,11,299112953,"sc",72.5
"6",6,12,310649036,"sc",32.5
"7",7,13,1916526994,"sc",77.5
"8",8,16,530806819,"sc",92.5
"9",9,17,290926371,"sc",62.5
"10",10,18,2117931939,"sc",40
"11",11,19,1048922923,"sc",12.5
"12",12,20,1736209271,"sc",45
"13",13,21,1638842287,"sc",60
"14",14,22,1683345284,"sc",55
"15",15,23,2055219255,"sc",65
"16",16,24,1385493348,"sc",37.5
"17",17,25,1976607728,"sc",80
"18",18,26,603242395,"sc",45
"19",19,28,213904330,"sc",72.5
"20",20,29,1524781293,"sc",57.5
"21",21,30,2020808474,"sc",47.5
"22",22,31,216425274,"sc",75
"23",23,32,1460590031,"sc",45
"24",24,33,790342637,"sc",47.5
"25",25,34,1700181835,"sc",72.5
"26",26,35,1162175495,"sc",60
"27",27,36,450050402,"sc",27.5
"28",28,37,436751504,"sc",35
"29",29,39,1449684040,"sc",80
"30",30,40,2130912221,"sc",67.5
"31",31,43,1876369982,"sc",65
"32",32,45,904296725,"sc",35
"33",33,53,944159441,"sc",30
"34",34,54,32789223,"sc",45
"35",35,55,1776216516,"sc",5
"36",36,56,1197490048,"sc",47.5
"37",37,58,1209479113,"sc",32.5
"38",38,59,1444407963,"sc",22.5
"39",39,62,532468672,"sc",22.5
"40",40,65,140112808,"sc",32.5
"41",41,66,1176156196,"sc",40
"42",42,67,49407394,"sc",30
"43",43,68,1242304743,"sc",62.5
"44",44,71,1227483714,"sc",45
"45",45,72,1660934437,"sc",47.5
"46",46,74,416517917,"sc",35
"47",47,76,1925785819,"sc",45
"48",48,77,2081927725,"sc",47.5
"49",49,79,326882635,"sc",75
"50",50,80,235934462,"sc",50
"51",51,81,2014659586,"sc",57.5
"52",52,82,1778131956,"sc",75
"53",53,83,2109237847,"sc",45
"54",54,84,1012554506,"sc",40
"55",55,85,416935227,"sc",47.5
"56",1,2,2051833672,"cnl",65
"57",2,5,2108605786,"cnl",45
"58",3,6,980809349,"cnl",47.5
"59",4,8,1975677673,"cnl",80
"60",5,11,299112953,"cnl",45
"61",6,12,310649036,"cnl",87.5
"62",7,13,1916526994,"cnl",35
"63",8,16,530806819,"cnl",35
"64",9,17,290926371,"cnl",35
"65",10,18,2117931939,"cnl",57.5
"66",11,19,1048922923,"cnl",62.5
"67",12,20,1736209271,"cnl",50
