"","question","answer","notion"
"1","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"2","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"3","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"4","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"5","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"6","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"7","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"8","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"9","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"10","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"11","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"12","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"13","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"14","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"15","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"16","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"17","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"18","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"19","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"20","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"21","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"22","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"23","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"24","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"25","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"26","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"27","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"28","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"29","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"30","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"31","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"32","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"33","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"34","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"35","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"36","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"37","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"38","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"39","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"40","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"41","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"42","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"43","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"44","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"45","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"46","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"47","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"48","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"49","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"50","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"51","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"52","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"53","PQ1. I think that I would like to use this notation frequently.","Disagree","positive"
"54","PQ1. I think that I would like to use this notation frequently.","Strongly Disagree","positive"
"55","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"56","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"57","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"58","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"59","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"60","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"61","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"62","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"63","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"64","NQ1. I find the notation unnecessarily complex.","Agree","negative"
